"Freq [GHz]","dB(S(Port1,Port1)) []","dB(S(Port2,Port1)) []","ang_deg(S(Port2,Port1)) [deg]"
0.5,-39.5490510875642,-0.000481840492094162,-6.39770552594008
1,-35.5372806585999,-0.00121372213788788,-12.7949691368071
1.5,-32.618487590596,-0.00237714572204794,-19.1914008964085
2,-30.4790096912686,-0.0038911537209209,-25.5867308435841
2.5,-28.8606679203311,-0.005649367916332,-31.9808430910973
3,-27.6155881202746,-0.00752663438496066,-38.3738249503398
3.5,-26.6574064973252,-0.00938668290733716,-44.765992775667
4,-25.9337125131149,-0.0110909066462364,-51.1579059571552
4.5,-25.4125497301255,-0.0125069987765388,-57.5503721123583
5,-25.0752969905334,-0.0135185176629462,-63.9444367168701
5.5,-24.9130408930521,-0.0140339662887741,-70.3413620838909
6,-24.9254291059272,-0.0139939292876901,-76.7425855674637
6.5,-25.1204933902193,-0.0133783456779869,-83.1496743681241
7,-25.5163690098234,-0.012211146948775,-89.5642663557934
7.5,-26.1449006122512,-0.0105638310246053,-95.9880043629045
8,-27.0594271332791,-0.00855597254670364,-102.422463607546
8.5,-28.3504395693322,-0.00635412689745816,-108.86908105145
9,-30.1805160666176,-0.00416812454408255,-115.329079448991
9.5,-32.8682041289208,-0.00224429191248509,-121.803400354587
10,-37.0483342891108,-0.000857029323171005,-128.292646590566
10.5,-41.637712732004,-0.000297818764309231,-134.797027437151
11,-37.0206902676124,-0.000862313247622843,-141.31632905484
11.5,-31.8511576102014,-0.00283648425022743,-147.849900205319
12,-28.2644674702993,-0.00648058162092342,-154.39665581695
12.5,-25.5857512953301,-0.0120182315646064,-160.955103494991
13,-23.4625617842933,-0.0196180135128627,-167.523424358451
13.5,-21.7143016440261,-0.0293106275356955,-174.099443308444
14,-20.2390006257107,-0.0415281545159062,179.318913377684
14.5,-18.9736933499646,-0.0554744014136366,172.73481524891
15,-17.8766346520325,-0.0714095099938122,166.149472387673
15.5,-16.9197268960602,-0.0891827827112548,159.565886251817
16,-16.0820734902487,-0.108391081943202,152.985780593621
16.5,-15.3482525853412,-0.128641401627053,146.410694613977
17,-14.7064442187106,-0.149484509165562,139.841674863181
17.5,-14.1473490722263,-0.170429145157398,133.279192060469
18,-13.6637898318995,-0.190949421384167,126.723149108158
18.5,-13.2498222354075,-0.210516275072296,120.172734440854
19,-12.9007954631047,-0.228604711013392,113.626517014719
19.5,-12.6129126926256,-0.244721234314428,107.082407658557
20,-12.3832455218673,-0.258414198060837,100.53773089844
