"Freq [GHz]","re(Zo(Port1)) []","im(Zo(Port1)) []","re(Zo(Port2)) []","im(Zo(Port2)) []"
14,50,0,50,0
14.2,50,0,50,0
14.4,50,0,50,0
14.6,50,0,50,0
14.8,50,0,50,0
15,50,0,50,0
15.2,50,0,50,0
15.4,50,0,50,0
15.6,50,0,50,0
15.8,50,0,50,0
16,50,0,50,0
16.2,50,0,50,0
16.4,50,0,50,0
16.6,50,0,50,0
16.8,50,0,50,0
17,50,0,50,0
17.2,50,0,50,0
17.4,50,0,50,0
17.6,50,0,50,0
17.8,50,0,50,0
18,50,0,50,0
18.2,50,0,50,0
18.4,50,0,50,0
18.6,50,0,50,0
18.8,50,0,50,0
19,50,0,50,0
19.2,50,0,50,0
19.4,50,0,50,0
19.6,50,0,50,0
19.8,50,0,50,0
20,50,0,50,0
20.2,50,0,50,0
20.4,50,0,50,0
20.6,50,0,50,0
20.8,50,0,50,0
21,50,0,50,0
21.2,50,0,50,0
21.4,50,0,50,0
21.6,50,0,50,0
21.8,50,0,50,0
22,50,0,50,0
22.2,50,0,50,0
22.4,50,0,50,0
22.6,50,0,50,0
22.8,50,0,50,0
23,50,0,50,0
23.2,50,0,50,0
23.4,50,0,50,0
23.6,50,0,50,0
23.8,50,0,50,0
24,50,0,50,0
24.2,50,0,50,0
24.4,50,0,50,0
24.6,50,0,50,0
24.8,50,0,50,0
25,50,0,50,0
25.2,50,0,50,0
25.4,50,0,50,0
25.6,50,0,50,0
25.8,50,0,50,0
26,50,0,50,0
26.2,50,0,50,0
26.4,50,0,50,0
26.6,50,0,50,0
26.8,50,0,50,0
27,50,0,50,0
