"Freq [GHz]","re(Zo(Port1)) []","re(Zo(Port2)) []","im(Zo(Port1)) []","im(Zo(Port2)) []"
3,50,50,0,0
3.1,50,50,0,0
3.2,50,50,0,0
3.3,50,50,0,0
3.4,50,50,0,0
3.5,50,50,0,0
3.6,50,50,0,0
3.7,50,50,0,0
3.8,50,50,0,0
3.9,50,50,0,0
4,50,50,0,0
4.1,50,50,0,0
4.2,50,50,0,0
4.3,50,50,0,0
4.4,50,50,0,0
4.5,50,50,0,0
4.6,50,50,0,0
4.7,50,50,0,0
4.8,50,50,0,0
4.9,50,50,0,0
5,50,50,0,0
5.1,50,50,0,0
5.2,50,50,0,0
5.3,50,50,0,0
5.4,50,50,0,0
5.5,50,50,0,0
5.6,50,50,0,0
5.7,50,50,0,0
5.8,50,50,0,0
5.9,50,50,0,0
6,50,50,0,0
6.1,50,50,0,0
6.2,50,50,0,0
6.3,50,50,0,0
6.4,50,50,0,0
6.5,50,50,0,0
6.6,50,50,0,0
6.7,50,50,0,0
6.8,50,50,0,0
6.9,50,50,0,0
7,50,50,0,0
7.1,50,50,0,0
7.2,50,50,0,0
7.3,50,50,0,0
7.4,50,50,0,0
7.5,50,50,0,0
7.6,50,50,0,0
7.7,50,50,0,0
7.8,50,50,0,0
7.9,50,50,0,0
8,50,50,0,0
8.1,50,50,0,0
8.2,50,50,0,0
8.3,50,50,0,0
8.4,50,50,0,0
8.5,50,50,0,0
8.6,50,50,0,0
8.7,50,50,0,0
8.8,50,50,0,0
8.9,50,50,0,0
9,50,50,0,0
9.1,50,50,0,0
9.2,50,50,0,0
9.3,50,50,0,0
9.4,50,50,0,0
9.5,50,50,0,0
9.6,50,50,0,0
9.7,50,50,0,0
9.8,50,50,0,0
9.9,50,50,0,0
10,50,50,0,0
10.1,50,50,0,0
10.2,50,50,0,0
10.3,50,50,0,0
10.4,50,50,0,0
10.5,50,50,0,0
10.6,50,50,0,0
10.7,50,50,0,0
10.8,50,50,0,0
10.9,50,50,0,0
11,50,50,0,0
11.1,50,50,0,0
11.2,50,50,0,0
11.3,50,50,0,0
11.4,50,50,0,0
11.5,50,50,0,0
11.6,50,50,0,0
11.7,50,50,0,0
11.8,50,50,0,0
11.9,50,50,0,0
12,50,50,0,0
12.1,50,50,0,0
12.2,50,50,0,0
12.3,50,50,0,0
12.4,50,50,0,0
12.5,50,50,0,0
12.6,50,50,0,0
12.7,50,50,0,0
12.8,50,50,0,0
12.9,50,50,0,0
13,50,50,0,0
13.1,50,50,0,0
13.2,50,50,0,0
13.3,50,50,0,0
13.4,50,50,0,0
13.5,50,50,0,0
13.6,50,50,0,0
13.7,50,50,0,0
13.8,50,50,0,0
13.9,50,50,0,0
14,50,50,0,0
