pattern,supercell_repeats,device_length_mm,pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,strict_pass
13-3-13,2200,127.6,12.399999999999995,0.00035,0.00029,"[4.0, 8.0]",37.151756770693694,7.0,34.56300264468039,34.13296034060016,4.707875503368001,1.7295242682926844,1.0,1.0,1.0,"[(4.0, 4.0), (5.0, 5.0), (6.0, 6.0), (7.0, 7.0)]",2.0,True,32.44388126732569,37.151756770693694,False
13-3-13,1200,69.6,11.999999999999996,0.00035,0.00029,"[4.0, 8.0]",38.65004496178856,7.0,36.1510351351386,36.49387970668113,5.648541886985754,1.791211987259816,1.0,1.0,1.0,"[(4.5, 4.5), (5.5, 6.0), (7.0, 7.5)]",2.5,True,33.001503074802805,38.65004496178856,False
13-3-13,900,52.2,11.599999999999998,0.00045,0.00021999999999999998,"[4.0, 8.0]",40.45160076881572,7.0,37.50208997193328,37.956886829559274,5.724847308484456,1.8999419259010613,1.0,1.0,1.0,"[(4.0, 4.0), (5.0, 7.0)]",3.0,True,34.72675346033127,40.45160076881572,False
13-3-13,900,52.2,12.799999999999994,0.00045,0.00029,"[4.0, 8.0]",38.25662730314568,8.0,34.93468340363271,34.19943081125293,6.314618016023132,2.256296756027181,1.0,1.0,1.0,"[(4.5, 4.5), (5.5, 5.5), (6.5, 6.5), (8.0, 8.0)]",2.0,True,31.942009287122545,38.25662730314568,False
13-3-13,900,52.2,12.399999999999995,0.00035,0.00029,"[4.0, 8.0]",38.55756814666196,8.0,34.78612101172398,34.836328157908405,7.436474210028486,2.529113957567258,1.0,1.0,1.0,"[(6.5, 8.0)]",2.0,True,31.12109393663347,38.55756814666196,False
13-3-13,1600,92.8,11.799999999999997,0.00035,0.00029,"[4.0, 8.0]",39.26223749750132,4.0,35.942363382577454,36.888611041044605,8.12185594652162,2.921311743204759,1.0,1.0,1.0,"[(4.0, 4.0), (5.0, 7.0)]",3.0,True,31.140381550979697,39.26223749750132,False
13-3-13,900,52.2,12.599999999999994,0.00045,0.00021999999999999998,"[4.0, 8.0]",31.918319433092254,7.0,27.889592655732717,28.096716073665124,8.359009416813745,2.7459168982880686,1.0,1.0,1.0,"[(7.0, 8.0)]",1.5,True,23.55931001627851,31.918319433092254,False
13-3-13,1200,69.6,11.999999999999996,0.00045,0.00021999999999999998,"[4.0, 8.0]",37.14953702670297,7.5,33.76877553362206,34.3575374136358,8.81167997047702,3.223742261094508,1.0,1.0,1.0,"[(4.5, 4.5), (5.5, 5.5), (6.5, 8.0)]",3.0,True,28.337857056225953,37.14953702670297,False
13-3-13,1200,69.6,12.199999999999996,0.00045,0.00021999999999999998,"[4.0, 8.0]",37.882102563474824,7.5,33.690965933099214,34.443823548281756,8.892913134386998,3.266076544733481,1.0,1.0,1.0,"[(6.5, 8.0)]",2.0,True,28.989189429087826,37.882102563474824,False
13-3-13,900,52.2,11.0,0.00045,0.00029,"[4.0, 8.0]",43.96224606922337,8.0,39.30299397264763,38.73664623196548,9.002697800595115,3.139945516934261,1.0,1.0,1.0,"[(5.5, 6.0), (8.0, 8.0)]",1.5,True,34.959548268628254,43.96224606922337,False
