model,configuration,mode_count,included_modes,p2_included,ps_pi_included,s2_i2_included,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,strict_pass,ripple_change_vs_all_8_modes_db,minimum_gain_change_vs_all_8_modes_db
general_ideal,basic_p_s_i,3,"['p', 's', 'i']",False,False,False,"[4.0, 8.0]",21.205377898408035,6.149999999999992,20.688586219192306,20.824478892627035,1.6330355879980196,0.45308450994705385,1.0,1.0,0.9012345679012346,"[(4.0, 7.999999999999986)]",4.049999999999986,True,19.572342310410015,21.205377898408035,True,-27.375445066931572,6.089450538886531
general_ideal,basic_plus_p2,4,"['p', 's', 'i', 'p2']",True,False,False,"[4.0, 8.0]",24.35265107950579,7.999999999999986,19.45045462025074,18.981601406751196,7.802267341757005,2.25047896523274,1.0,0.8518518518518519,0.37037037037037035,"[(7.099999999999989, 7.999999999999986)]",0.9499999999999966,True,16.550383737748785,24.35265107950579,False,-21.206213313172587,3.067491966225301
general_ideal,basic_plus_ps_pi,5,"['p', 's', 'i', 'ps', 'pi']",False,True,False,"[4.0, 8.0]",43.44690757564689,6.499999999999991,32.03693539522161,35.26190826669341,57.78223288713483,11.747319646810936,0.9135802469135802,0.9135802469135802,0.9012345679012346,"[(4.0, 4.1), (4.599999999999998, 4.6999999999999975), (6.349999999999992, 6.549999999999991), (7.399999999999988, 7.399999999999988), (7.549999999999987, 7.549999999999987)]",0.6499999999999977,True,-14.335325311487942,43.44690757564689,False,28.77375223220524,-27.818217083011426
general_ideal,basic_plus_s2_i2,5,"['p', 's', 'i', 's2', 'i2']",False,False,True,"[4.0, 8.0]",39.0003227620639,5.649999999999994,28.176184422534302,27.893847988441685,18.52156657909812,3.4702528421570733,1.0,1.0,1.0,"[(5.649999999999994, 5.649999999999994)]",0.04999999999999982,True,20.478756182965782,39.0003227620639,False,-10.486914075831471,6.995864411442298
general_ideal,all_except_p2,7,"['p', 's', 'i', 'ps', 'pi', 's2', 'i2']",False,True,True,"[4.0, 8.0]",44.98799853731208,5.5499999999999945,33.98996797973639,37.54453435501067,59.44006079448318,11.704068877124033,0.9135802469135802,0.9135802469135802,0.9135802469135802,"[(5.499999999999995, 5.5499999999999945), (5.749999999999994, 5.749999999999994)]",0.14999999999999947,True,-14.452062257171098,44.98799853731208,False,30.43158013955359,-27.934954028694584
general_ideal,all_except_ps_pi,6,"['p', 's', 'i', 'p2', 's2', 'i2']",True,False,True,"[4.0, 8.0]",40.28720931405977,5.749999999999994,33.54220616590265,34.46971633345378,12.117321370507842,2.9314527162287636,1.0,1.0,1.0,"[(5.699999999999994, 5.799999999999994), (5.949999999999993, 5.999999999999993)]",0.2499999999999991,True,28.16988794355193,40.28720931405977,False,-16.89115928442175,14.686996172028447
general_ideal,all_except_s2_i2,6,"['p', 's', 'i', 'ps', 'pi', 'p2']",True,True,False,"[4.0, 8.0]",41.28469805048209,6.9499999999999895,33.400747469600354,35.05956566524577,20.879965474906285,5.476390645318366,1.0,1.0,1.0,"[(4.0, 4.05), (4.299999999999999, 4.299999999999999), (4.649999999999998, 4.749999999999997), (6.449999999999991, 6.599999999999991), (6.69999999999999, 6.69999999999999), (6.89999999999999, 6.999999999999989), (7.199999999999989, 7.2499999999999885)]",0.7999999999999972,True,20.404732575575807,41.28469805048209,False,-8.128515180023307,6.921840804052323
general_ideal,all_8_modes,8,"['p', 's', 'i', 'ps', 'pi', 'p2', 's2', 'i2']",True,True,True,"[4.0, 8.0]",42.491372426453076,5.499999999999995,35.6187616832718,35.82801064635929,29.008480654929592,4.102488070280634,0.9876543209876543,0.9876543209876543,0.9876543209876543,"[(4.549999999999998, 4.549999999999998), (4.799999999999997, 4.799999999999997), (4.949999999999997, 4.949999999999997), (5.499999999999995, 5.499999999999995), (5.699999999999994, 5.699999999999994), (6.149999999999992, 6.199999999999992), (6.649999999999991, 6.649999999999991)]",0.3999999999999986,True,13.482891771523484,42.491372426453076,False,0.0,0.0
general,basic_p_s_i,3,"['p', 's', 'i']",False,False,False,"[4.0, 8.0]",10.855309013623,5.599999999999994,10.158627449612538,10.151140188734518,1.1627518168399043,0.29724533049864443,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,9.692557196783095,10.855309013623,False,-14.951143171331434,-15.51017403423327
general,basic_plus_p2,4,"['p', 's', 'i', 'p2']",True,False,False,"[4.0, 8.0]",26.73559397906851,7.999999999999986,22.66004412644374,22.342756248882093,7.3152176533562745,1.9922658667727282,1.0,1.0,0.9506172839506173,"[(6.649999999999991, 6.69999999999999), (6.84999999999999, 7.999999999999986)]",1.2999999999999954,True,19.420376325712237,26.73559397906851,False,-8.798677334815064,-5.782354905304128
