finger_length_um,Z0_ohm
0.5349,122.365
0.6113,122.284
0.6877,122.284
0.7641,122.365
0.8405,122.121
0.9169,121.387
0.9933,120.571
1.0697,119.592
1.1461,118.695
1.2225,117.390
1.2989,115.514
1.3754,113.638
1.4518,112.007
1.5282,110.294
1.6046,108.662
1.6810,107.194
1.7574,105.726
1.8338,104.258
1.9102,102.708
1.9866,101.321
2.0630,100.098
2.1394,98.874
2.2159,97.569
2.2923,96.346
2.3687,95.122
2.4451,93.980
2.5215,92.920
2.5979,91.778
2.6743,90.718
2.7507,89.494
2.8271,88.434
2.9035,87.700
2.9799,86.966
3.0564,86.069
3.1328,85.334
3.2092,84.763
3.2856,83.866
3.3620,82.806
3.4384,81.990
3.5148,81.338
3.5912,80.604
3.6676,79.951
3.7440,79.299
3.8204,79.788
3.8968,76.852
3.9733,76.852
4.0497,76.852
4.1261,76.281
4.2025,75.710
4.2789,75.139
4.3553,74.649
4.4317,74.160
4.5081,73.752
4.5845,73.181
4.6609,72.121
4.7373,71.958
4.8138,71.550
4.8902,71.060
4.9666,70.816
5.0430,70.571
5.1194,70.326
5.1958,69.918
5.2722,69.266
5.3486,69.347
5.4250,68.940
5.5014,68.042
5.5778,67.635
5.6543,67.227
5.7307,66.819
5.8071,66.493
5.8835,66.166
5.9599,65.677
6.0363,65.351
6.1127,65.024
6.1891,64.698
6.2655,64.290
6.3419,63.964
6.4183,63.638
6.4947,63.312
6.5712,62.414
6.6476,62.088
6.7240,62.088
6.8004,61.843
6.8768,61.599
6.9532,61.354
7.0296,61.191
7.1060,61.028
7.1824,60.783
7.2588,60.538
7.3352,60.294
7.4117,60.375
7.4881,59.560
7.5645,59.152
7.6409,58.907
7.7173,58.662
7.7937,58.418
7.8701,58.091
7.9465,57.928
8.0229,57.602
8.0993,57.439
8.1757,57.194
8.2521,56.949
8.3286,56.705
8.4050,56.460
8.4814,56.297
8.5578,55.481
8.6342,55.318
8.7106,55.318
8.7870,55.155
8.8634,54.992
8.9398,54.829
9.0162,54.747
9.0926,54.584
9.1691,54.502
9.2455,54.421
9.3219,54.176
9.3983,54.258
9.4747,53.768
9.5511,53.361
9.6275,53.116
9.7039,52.953
9.7803,52.790
9.8567,52.626
9.9331,52.382
10.0096,52.219
10.0860,52.055
10.1624,51.892
10.2388,51.729
10.3152,51.566
10.3916,51.403
10.4680,51.158
10.5444,50.669
10.6208,50.424
10.6972,50.424
10.7736,50.343
10.8500,50.179
10.9265,50.179
11.0029,49.935
11.0793,49.935
11.1557,49.853
11.2321,49.772
11.3085,49.690
11.3849,49.690
11.4613,49.445
11.5377,48.956
11.6141,48.793
11.6905,48.630
11.7670,48.467
11.8434,48.303
11.9198,48.140
11.9962,48.140
12.0726,48.059
12.1490,47.814
12.2254,47.651
12.3018,47.488
12.3782,47.406
12.4546,47.162
12.5310,46.835
12.6074,46.591
12.6839,46.591
12.7603,46.509
12.8367,46.427
12.9131,46.427
12.9895,46.427
13.0659,46.101
13.1423,46.101
13.2187,46.101
13.2951,46.020
13.3715,46.020
13.4479,45.938
13.5244,45.530
13.6008,45.367
13.6772,45.285
13.7536,45.122
13.8300,44.959
13.9064,44.959
13.9828,44.796
14.0592,44.633
14.1356,44.551
14.2120,44.470
14.2884,44.307
14.3649,44.144
14.4413,44.062
14.5177,43.899
14.5941,43.491
14.6705,43.491
14.7469,43.491
14.8233,43.491
14.8997,43.573
14.9761,43.328
15.0525,43.328
15.1289,43.165
15.2053,43.165
15.2818,43.083
15.3582,43.165
15.4346,43.002
15.5110,42.675
15.5874,42.512
15.6638,42.512
15.7402,42.349
15.8166,42.268
15.8930,42.186
15.9694,42.023
16.0458,42.023
16.1223,41.860
16.1987,41.778
16.2751,41.697
16.3515,41.615
16.4279,41.533
16.5043,41.370
16.5807,41.126
16.6571,40.962
16.7335,41.044
16.8099,41.207
16.8863,41.126
16.9628,41.044
17.0392,40.962
17.1156,40.881
17.1920,40.799
