freq_GHz,S21_db_engineered,k_star_engineered_rad
1,-9.2575441249e-12,-3.74282121094e-05
1.002,-1.33903250186e-06,-3.73312267459e-05
1.004,-2.67805574618e-06,-3.72342413824e-05
1.006,-4.0170789905e-06,-3.71372560188e-05
1.008,-5.35610223482e-06,-3.70402706553e-05
1.01,-6.69512547913e-06,-3.69432852918e-05
1.012,-8.03414872345e-06,-3.68462999282e-05
1.014,-9.37317196777e-06,-3.67493145647e-05
1.016,-1.07121952121e-05,-3.66523292012e-05
1.018,-1.20512184564e-05,-3.65553438376e-05
1.02,-1.32719946313e-05,-3.6458290186e-05
1.022,-1.44809460992e-05,-3.63612297056e-05
1.024,-1.56898975672e-05,-3.62641692252e-05
1.026,-1.68988490351e-05,-3.61671087448e-05
1.028,-1.8107800503e-05,-3.60700482644e-05
1.03,-1.9316751971e-05,-3.59729877839e-05
1.032,-2.05257034389e-05,-3.58759273035e-05
1.034,-2.17346549068e-05,-3.57788668231e-05
1.036,-2.29436063748e-05,-3.56818063427e-05
1.038,-2.40469659516e-05,-3.55846980673e-05
1.04,-2.51268606638e-05,-3.54875791708e-05
1.042,-2.6206755376e-05,-3.53904602743e-05
1.044,-2.72866500882e-05,-3.52933413778e-05
1.046,-2.83665448004e-05,-3.51962224813e-05
1.048,-2.94464395126e-05,-3.50991035848e-05
1.05,-3.05263342248e-05,-3.50019846883e-05
1.052,-3.1606228937e-05,-3.49048657918e-05
1.054,-3.26861236492e-05,-3.48077468953e-05
1.056,-3.36732344443e-05,-3.47105649376e-05
1.058,-3.46255512706e-05,-3.4613359332e-05
1.06,-3.55778680968e-05,-3.45161537264e-05
1.062,-3.65301849231e-05,-3.44189481208e-05
1.064,-3.74825017494e-05,-3.43217425152e-05
1.066,-3.84348185756e-05,-3.42245369096e-05
1.068,-3.93871354019e-05,-3.4127331304e-05
1.07,-4.03394522282e-05,-3.40301256984e-05
1.072,-4.12917690544e-05,-3.39329200928e-05
1.074,-4.21641281287e-05,-3.38356662657e-05
1.076,-4.29907970589e-05,-3.37383848834e-05
1.078,-4.38174659891e-05,-3.36411035011e-05
1.08,-4.46441349193e-05,-3.35438221188e-05
1.082,-4.54708038495e-05,-3.34465407365e-05
1.084,-4.62974727797e-05,-3.33492593542e-05
