signal_GHz,pump_12.50GHz_delta_k_rad_per_cell,pump_12.60GHz_delta_k_rad_per_cell,pump_12.70GHz_delta_k_rad_per_cell,pump_12.80GHz_delta_k_rad_per_cell,pump_12.90GHz_delta_k_rad_per_cell,pump_13.00GHz_delta_k_rad_per_cell,pump_13.10GHz_delta_k_rad_per_cell,pump_13.20GHz_delta_k_rad_per_cell,pump_13.30GHz_delta_k_rad_per_cell,pump_13.40GHz_delta_k_rad_per_cell,pump_13.50GHz_delta_k_rad_per_cell,pump_13.60GHz_delta_k_rad_per_cell,pump_13.70GHz_delta_k_rad_per_cell,pump_13.80GHz_delta_k_rad_per_cell,pump_13.90GHz_delta_k_rad_per_cell,pump_14.00GHz_delta_k_rad_per_cell,pump_14.10GHz_delta_k_rad_per_cell,pump_14.20GHz_delta_k_rad_per_cell,pump_14.30GHz_delta_k_rad_per_cell,pump_14.40GHz_delta_k_rad_per_cell,pump_14.50GHz_delta_k_rad_per_cell,pump_14.60GHz_delta_k_rad_per_cell,pump_14.70GHz_delta_k_rad_per_cell,pump_14.80GHz_delta_k_rad_per_cell,pump_14.90GHz_delta_k_rad_per_cell,pump_15.00GHz_delta_k_rad_per_cell,pump_15.10GHz_delta_k_rad_per_cell,pump_15.20GHz_delta_k_rad_per_cell,pump_15.30GHz_delta_k_rad_per_cell,pump_15.40GHz_delta_k_rad_per_cell,pump_15.50GHz_delta_k_rad_per_cell,pump_15.60GHz_delta_k_rad_per_cell,pump_15.70GHz_delta_k_rad_per_cell,pump_15.80GHz_delta_k_rad_per_cell,pump_15.90GHz_delta_k_rad_per_cell,pump_16.00GHz_delta_k_rad_per_cell,pump_16.10GHz_delta_k_rad_per_cell,pump_16.20GHz_delta_k_rad_per_cell,pump_16.30GHz_delta_k_rad_per_cell,pump_16.40GHz_delta_k_rad_per_cell,pump_16.50GHz_delta_k_rad_per_cell,pump_16.60GHz_delta_k_rad_per_cell,pump_16.70GHz_delta_k_rad_per_cell,pump_16.80GHz_delta_k_rad_per_cell,pump_16.90GHz_delta_k_rad_per_cell,pump_17.00GHz_delta_k_rad_per_cell,pump_17.10GHz_delta_k_rad_per_cell,pump_17.20GHz_delta_k_rad_per_cell,pump_17.30GHz_delta_k_rad_per_cell,pump_17.40GHz_delta_k_rad_per_cell,pump_17.50GHz_delta_k_rad_per_cell
2.5,-0.00263115145449,-0.00341384340231,-0.00212092469846,-0.00164704743248,-0.00139775345433,-0.00124192366874,-0.0011387537558,-0.00107043363076,-0.00102811794423,-0.00100740844322,-0.00100666303749,-0.00102644293845,-0.00106969543198,-0.00114279126324,-0.00125837930789,-0.00144315814514,-0.00176815324084,-0.00258661284697,-0.00290314668442,-0.00211017692334,-0.00131962980726,-0.000529082691182,0.000259779644379,0.00104864197994,0.00183634586679,0.00262404975365,0.00341098281353,0.00211957491918,0.00164457172811,0.00139140744705,0.0012281698164,0.00111364483902,0.00102911189397,0.000964667131266,0.000914485268701,0.000874710094673,0.000843011581883,0.000817401201555,0.000796904265114,0.000780246051053,0.000767102376479,0.000757544242417,0.000748476247945,0.00074290659785,0.00073790287327,0.000735322541488,0.000733379201527,0.000733121162121,0.000733568007309,0.000735173658782,0.000737550673689
2.55,-0.0026191788859,-0.0034009581975,-0.00210699500274,-0.00163191180795,-0.00138121141409,-0.00122372297545,-0.0011185719371,-0.00104785111713,-0.00100257420319,-0.000978149204129,-0.00097262348941,-0.000986073932611,-0.00102063325677,-0.00108120633969,-0.00117746704657,-0.00132920376558,-0.00158588294911,-0.00215761030003,-0.00272685565426,-0.00248863769244,-0.00169809057636,-0.000907543460283,-0.000118681124722,0.000670181210838,0.00145788509769,0.00224558898454,0.00303252204443,0.0027802846272,0.00189684061204,0.00153275687597,0.00132443188933,0.00118555058532,0.00108598880374,0.00101149994986,0.000954228304873,0.000909249786576,0.000873616864144,0.000844962417585,0.000822065820152,0.000803488244901,0.000788790812816,0.000777439908498,0.000768371914026,0.000761053091742,0.000756049367162,0.000752257338981,0.00075031399902,0.000749213309336,0.000749660154525,0.000750686402855,0.000753063417762
2.6,-0.00260722088755,-0.00338808756293,-0.00209307987727,-0.00161679075366,-0.00136468394409,-0.00120553685239,-0.00109840468865,-0.00102528317375,-0.000977045032391,-0.000948904535279,-0.000938598511577,-0.000945719497018,-0.000971585651805,-0.00101963598638,-0.00109656935548,-0.00121526395627,-0.00140362722763,-0.00172862232332,-0.00255057919434,-0.00286711303178,-0.00207656591571,-0.00128601879963,-0.000497156464068,0.000291705871492,0.00107940975835,0.0018671136452,0.00265404670508,0.00344097976496,0.00214909492571,0.00167409173464,0.00142067939202,0.00125744176137,0.00114285114327,0.00105831819821,0.0009939567708,0.000943774908234,0.00090420757616,0.00087250906337,0.000847212804945,0.000826715868504,0.000810464678908,0.000797321004334,0.000788253009862,0.000779185015389,0.00077418129081,0.00076917756623,0.000767234226268,0.000765290886307,0.000765737731496,0.000766184576684,0.000768561591591
2.65,-0.00259608262398,-0.00337614496656,-0.00208022464467,-0.00160289103015,-0.00134957829177,-0.00118902478436,-0.00108023396757,-0.00100513132727,-0.000954492490979,-0.000923390766448,-0.000909369244696,-0.000911709921154,-0.000931246618181,-0.000970603783383,-0.00103501440415,-0.00113438166716,-0.00128970282028,-0.00154638200381,-0.00212160661961,-0.00269085197384,-0.00245505665702,-0.00166450954094,-0.000875647205382,-8.67848698218e-05,0.000700919017032,0.00148862290389,0.00227555596377,0.00306248902365,0.00280977466151,0.00192633064635,0.00156199884873,0.00135367386209,0.00121472691735,0.00111516513577,0.00104075961718,0.000983487972193,0.00093871729585,0.000903084373417,0.000874744048762,0.000851847451329,0.000833676900543,0.000818979468457,0.000808118703729,0.000799050709257,0.000792297812489,0.000787294087909,0.000784139051548,0.000782195711587,0.000781799906498,0.000782246751687,0.000784044363451
2.7,-0.0025849596043,-0.00336421761408,-0.00206738465598,-0.00158900655055,-0.00133448788335,-0.00117252796023,-0.00106207849039,-0.000984994724692,-0.000931955193468,-0.000897892241519,-0.000880155221717,-0.000877715589191,-0.000890922828458,-0.000921586824287,-0.000973474696714,-0.00105351462194,-0.00117579365684,-0.0013641569282,-0.00169264928877,-0.00251460615979,-0.00283356264223,-0.00204301552616,-0.0012541531906,-0.000465290855038,0.000322413031816,0.00111011691867,0.00189704997855,0.00268398303843,0.00347043915341,0.00217855431416,0.00170330306154,0.00144989071892,0.00128658744754,0.00117199682943,0.00108754721966,0.00102318579225,0.000973211771638,0.000933644439563,0.000902260048677,0.000876963790252,0.000856873878276,0.000840622688679,0.000827969153695,0.000818901159223,0.000810399090266,0.000805395365686,0.000801028632927,0.000799085292965,0.000797846837598,0.000798293682787,0.00079951189141
2.75,-0.00257456589285,-0.00335311016881,-0.00205547287791,-0.00157618213626,-0.00132061897815,-0.00115745312622,-0.00104559724066,-0.000966854821916,-0.000911834165295,-0.000875370518415,-0.000854672271194,-0.000848517140618,-0.000856944070902,-0.00088127860897,-0.000924473312024,-0.000991990488916,-0.00109494218603,-0.00125026333916,-0.00151043978757,-0.00208566440336,-0.0026573324026,-0.00242153708578,-0.00163267475022,-0.00084381241466,-5.61085278064e-05,0.000731595359047,0.00151852841893,0.00230546147881,0.00309191759379,0.00283920323165,0.00195551115494,0.00159117935731,0.00138278872995,0.00124384178521,0.00114436333892,0.00106995782032,0.00101289401729,0.000968123340945,0.000932804540416,0.00090446421576,0.000881974642792,0.000863804092006,0.00084959679951,0.000838736034782,0.000830233965825,0.000823481069057,0.000819114336298,0.000815959299937,0.00081472084457,0.000814325039481,0.000815543248104
2.8,-0.00256418809012,-0.00334201863227,-0.00204357700857,-0.0015633736307,-0.00130676598168,-0.00114239420093,-0.00102913189967,-0.000948730827868,-0.00089172904585,-0.000852864704039,-0.0008292052294,-0.000819334600774,-0.000822981222074,-0.000840986302383,-0.000875487836062,-0.000930482264616,-0.00101410662396,-0.00113638565885,-0.00132824619509,-0.00165673855567,-0.00248111807169,-0.00280007455413,-0.00201121221857,-0.00122234988301,-0.000434645996157,0.000353057890696,0.00113999095058,0.00192692401046,0.00271338012544,0.00349983624041,0.00220770333961,0.00173245208698,0.00147897410364,0.00131567083226,0.00120116354944,0.00111671393967,0.00105256035421,0.0010025863336,0.000963333123427,0.00093194873254,0.00090705949858,0.000886969586605,0.000871208536597,0.000858555001613,0.000850052932656,0.000841550863699,0.00083718413094,0.000832817398181,0.000831578942814,0.000830340487447,0.00083155869607
2.85,-0.00255446523044,-0.00333165763125,-0.00203250227373,-0.00155149456306,-0.00129397427782,-0.00112855800617,-0.00101408977608,-0.000932282288573,-0.000873621853502,-0.000832776386294,-0.000806716216724,-0.00079388436068,-0.00079381548393,-0.000807040255255,-0.000835212331175,-0.000881513590355,-0.000952615201356,-0.00105556689847,-0.00121438531648,-0.00147456176489,-0.00205220902569,-0.00262387702492,-0.00238976648862,-0.00160090415306,-0.000813200266208,-2.54963793542e-05,0.000761436680528,0.00154836974041,0.00233482585538,0.00312128197036,0.00286831954667,0.00198462746996,0.00162023003161,0.00141183940424,0.00127297579479,0.00117349734849,0.00109929967186,0.00104223586882,0.00099777931438,0.000962460513851,0.00093452721366,0.000912037640692,0.000894357229496,0.000880149937,0.000869855097787,0.00086135302883,0.000855237123882,0.000850870391123,0.000848420239357,0.000847181783991,0.000847557342336
2.9,-0.00254475898625,-0.00332131324571,-0.00202144415438,-0.00153963211091,-0.00128119918945,-0.00111473842689,-0.000999064267985,-0.000915850364765,-0.000855531276644,-0.000812704684038,-0.000784243819537,-0.000768450736074,-0.000764666361274,-0.000773110823615,-0.000794953441775,-0.000832561531582,-0.000891140394245,-0.000974764753584,-0.00110054105336,-0.0012924015896,-0.00162331659518,-0.0024476961112,-0.00276833737416,-0.0019794750386,-0.00119177115175,-0.000404067264894,0.000382865794988,0.00116979885487,0.00195625496985,0.00274271108482,0.00352891913824,0.00223678623744,0.00176146934409,0.00150799136074,0.00134477142464,0.00123026414183,0.00114602237401,0.00108186878855,0.00103220888984,0.000992955679674,0.000961978313252,0.000937089079292,0.000917489306905,0.000901728256898,0.000889640647429,0.000881138578472,0.000873273501336,0.000868906768577,0.000865244920412,0.000864006465045,0.000863539373113
2.95,-0.0025356434341,-0.00331162396884,-0.00201111673617,-0.00152859095888,-0.00126935370462,-0.00110198030584,-0.00098526165603,-0.000900841823994,-0.000839116320161,-0.000794631074503,-0.000764189084605,-0.000745995306211,-0.000739249703993,-0.000743978668284,-0.000761040977461,-0.000792319609507,-0.000842205302797,-0.000913306913798,-0.0010197558758,-0.0011785742938,-0.00144117338722,-0.00201882064801,-0.00259217342776,-0.00235806289146,-0.00157035900461,-0.000782655117757,4.2779421246e-06,0.000791211002007,0.00157766711698,0.00236412323196,0.00315033128538,0.00289736886169,0.00201361114425,0.0016492137059,0.00144090641382,0.00130204280436,0.00120277220003,0.00112857452339,0.00107182484225,0.00102736828781,0.00099245651175,0.000964523211559,0.00094252377818,0.000924843366984,0.000911202000003,0.00090090716079,0.000893042083654,0.000886926178706,0.000883264330541,0.000880814178776,0.000880347086843
