signal_GHz,gain_dB_max_gain_pump_14.40GHz,gain_dB_max_gbp_pump_14.10GHz
2.5,0.0434403175139,0.0620126287905
2.55,0.00297917019468,0.0291101379848
2.6,0.0275315998713,2.92911503239e-05
2.65,0.0300353866408,0.0664530057818
2.7,0.0199233070261,0.168832401687
2.75,0.0547971095171,0.00500198934074
2.8,0.0717929136402,0.216975449573
2.85,0.111939390011,4.13159370419e-05
2.9,0.0751256528943,0.295636486699
2.95,0.185118580012,0.180614092254
3,0.129146779225,0.0312511968925
3.05,0.0895765620882,0.388555744101
3.1,0.268515510615,0.432486413095
3.15,0.171773859714,0.0835891010051
3.2,0.155073355792,0.0983433240122
3.25,0.528910678613,0.564148399441
3.3,0.099565533369,0.830235302523
3.35,0.174591999609,0.568496287333
3.4,0.817662271167,0.0870702710817
3.45,0.67375413458,0.084115714022
3.5,0.0392438448518,0.713113631212
3.55,0.346592301003,1.35823964278
3.6,1.3387116628,1.57934805604
3.65,1.607803729,1.2161741122
3.7,0.822250064333,0.440991649902
3.75,0.00558622927302,6.25637785213e-05
3.8,1.01595825663,0.642957367912
3.85,2.85300570752,1.97796637546
3.9,3.74721680847,3.19756669584
3.95,2.73664496578,3.69014881818
4,0.0299860490733,3.20073091814
4.05,4.75457465943,1.55590392503
4.1,11.7298469944,0.0286433151207
4.15,16.5225251982,3.6273412786
4.2,20.2498134771,8.96513061212
4.25,22.9990888584,13.1040498587
4.3,25.2312920442,16.4897405171
4.35,26.9066988934,19.1422960307
4.4,28.2519945422,21.4112945025
4.45,29.2394243789,23.2455836242
4.5,30.0069737075,24.8412455199
4.55,30.5487490542,26.1429017642
4.6,30.9466116797,27.2728447039
4.65,31.2098154565,28.1930716303
4.7,31.3843453522,28.9855735506
4.75,31.4833477491,29.6246551422
4.8,31.5305857661,30.1672211427
4.85,31.5390676825,30.599897412
4.9,31.5191498189,30.9625348611
4.95,31.482240825,31.2469292211
5,31.4310748864,31.4807252428
5.05,31.3752346651,31.6612312317
5.1,31.3136857727,31.8060470257
5.15,31.254131092,31.9151589813
5.2,31.1937525749,31.9996996511
5.25,31.1387155689,32.0613400638
5.3,31.0855854966,32.1064001551
5.35,31.0393212116,32.1374193351
5.4,30.9963286649,32.1575404065
5.45,30.9606392866,32.1697888675
5.5,30.9288218863,32.1751498325
5.55,30.9040301234,32.1768229321
5.6,30.8833219494,32.1743380153
5.65,30.8690281874,32.1709420644
5.7,30.8588015205,32.1652762706
5.75,30.8542577166,32.1607013806
5.8,30.8535263748,32.154949925
5.85,30.8577156855,32.1515673227
5.9,30.8654280367,32.1479621951
5.95,30.8772439336,32.1472623739
6,30.8922980732,32.1469677557
6.05,30.9107467521,32.1500315245
6.1,30.9320767167,32.1538200093
6.15,30.9561522548,32.1611670229
6.2,30.9828031586,32.1695226171
6.25,31.0116096318,32.181456096
6.3,31.0427138026,32.1944806673
6.35,31.0754561193,32.2111130365
6.4,31.1102410239,32.2288564047
6.45,31.146238955,32.250143239
6.5,31.1840374908,32.2726183838
6.55,31.2226911657,32.2984735981
6.6,31.2629650905,32.3255013034
6.65,31.3037977595,32.355826702
6.7,31.3461080871,32.3872622762
6.75,31.3887304244,32.4219063928
6.8,31.4326745159,32.4576514615
6.85,31.4767870635,32.4964859562
6.9,31.5221238712,32.5363470028
6.95,31.5674956853,32.5792141955
7,31.6140386247,32.623061723
7.05,31.660532964,32.6698379075
7.1,31.7081381281,32.7175747154
7.15,31.7556738518,32.7681673949
7.2,31.8042999832,32.8196395592
7.25,31.852862625,32.8738967722
7.3,31.9025172427,32.9289738425
7.35,31.9521549252,32.9867606222
7.4,32.002906772,33.0453229352
7.45,32.053712066,33.1065344974
7.5,32.1056886955,33.1684008828
7.55,32.1578417523,33.2328017849
7.6,32.2112112301,33.297761916
7.65,32.2649168807,33.36509889
7.7,32.3199152264,33.432824832
7.75,32.3754121132,33.5027872539
7.8,32.4323177929,33.5728482756
7.85,32.4899544593,33.6448512058
7.9,32.54909444,33.7166528629
7.95,32.6092230527,33.7899371793
8,32.670965547,33.8625904806
8.05,32.7339851424,33.9361454251
8.1,32.7987535789,34.0083889621
8.15,32.8651145098,34.0806542826
8.2,32.9333470048,34.1507590252
8.25,33.0035163169,34.2196079352
8.3,33.0756656259,34.2850877314
8.35,33.1501128744,34.3475857618
8.4,33.2266204725,34.4050773635
8.45,33.3057628791,34.4570974704
8.5,33.3870160317,34.5019049358
8.55,33.471188342,34.5378543048
8.6,33.5574039239,34.5635899984
8.65,33.6467431941,34.5758390745
8.7,33.7379659211,34.5738248307
8.75,33.8323159068,34.5520719446
8.8,33.9280853188,34.5107774506
8.85,34.0267720335,34.4411517871
8.9,34.1260477647,34.3452516135
8.95,34.2275014629,34.2098821132
9,34.328175157,34.0395366435
9.05,34.429463955,33.8152582326
9.1,34.5278441074,33.5446678126
9.15,34.6239957952,33.2023052417
9.2,34.7137922078,32.8001098674
9.25,34.7966552889,32.3026886193
9.3,34.8677478553,31.7298520748
9.35,34.9242058264,31.0337203127
9.4,34.9606797498,30.2420530268
9.45,34.9702909442,29.2899914521
9.5,34.9475925475,28.2187636089
9.55,34.8792240477,26.9384364073
9.6,34.7604545358,25.5013757242
9.65,34.5679106225,23.7811088315
9.7,34.2994265509,21.8395766176
9.75,33.9163514083,19.4794765857
9.8,33.4235490924,16.7571933519
9.85,32.7596225916,13.3154445037
9.9,31.9421117788,9.13879318294
9.95,30.8773185396,3.7593297318
10,29.6038577314,0.0402426367239
10.05,27.9755708411,1.52876485949
10.1,26.0539860908,3.18922590433
10.15,23.6015935894,3.6897649887
10.2,20.6836972188,3.20267870637
10.25,16.8275589831,1.98557449682
10.3,11.9519725009,0.648377457023
10.35,4.91449189197,0.000125633544009
10.4,0.0201859474126,0.438292397029
10.45,2.71695614814,1.21424134726
10.5,3.7463115819,1.57902010937
10.55,2.86037191101,1.35937948542
10.6,1.0231387635,0.714888270571
10.65,0.00507294510651,0.0847819596942
10.7,0.819282092876,0.0864889813839
10.75,1.60718022283,0.567791028972
10.8,1.34014097356,0.830185590386
10.85,0.347982914811,0.564731346828
10.9,0.0387591311669,0.0986874835158
10.95,0.673075658964,0.0832928847805
11,0.817993692714,0.432225492819
11.05,0.175092408306,0.388807882402
11.1,0.0991910221623,0.0313822542631
11.15,0.528890785689,0.180430590053
11.2,0.155331426803,0.295730545625
11.25,0.171556272187,4.52423790136e-05
11.3,0.268698993883,0.216915508359
11.35,0.0894474785341,0.00502922507179
11.4,0.129254195655,0.168833462358
11.45,0.185120232333,0.066407799956
11.5,0.0750698620441,3.08297656747e-05
