gamma_dB,dG_dB_eta_1,dG_dB_eta_0.5
-20,nan,4.7712125472
-19.9749373434,nan,4.80479097719
-19.9498746867,nan,4.83869595942
-19.9248120301,nan,4.87293275638
-19.8997493734,nan,4.90750676416
-19.8746867168,nan,4.94242351706
-19.8496240602,nan,4.97768869248
-19.8245614035,nan,5.0133081159
-19.7994987469,nan,5.04928776621
-19.7744360902,nan,5.08563378117
-19.7493734336,nan,5.12235246318
-19.7243107769,nan,5.15945028532
-19.6992481203,nan,5.1969338976
-19.6741854637,nan,5.23481013359
-19.649122807,nan,5.2730860173
-19.6240601504,nan,5.3117687704
-19.5989974937,nan,5.35086581979
-19.5739348371,nan,5.39038480554
-19.5488721805,nan,5.43033358921
-19.5238095238,nan,5.47072026258
-19.4987468672,nan,5.51155315681
-19.4736842105,nan,5.55284085208
-19.4486215539,nan,5.59459218768
-19.4235588972,nan,5.63681627266
-19.3984962406,nan,5.67952249702
-19.373433584,nan,5.72272054345
-19.3483709273,nan,5.76642039974
-19.3233082707,nan,5.81063237181
-19.298245614,nan,5.85536709752
-19.2731829574,nan,5.9006355611
-19.2481203008,nan,5.9464491085
-19.2230576441,nan,5.99281946359
-19.1979949875,nan,6.03975874513
-19.1729323308,nan,6.08727948494
-19.1478696742,nan,6.13539464689
-19.1228070175,nan,6.18411764719
-19.0977443609,nan,6.23346237572
-19.0726817043,nan,6.28344321875
-19.0476190476,nan,6.334075083
-19.022556391,nan,6.38537342114
-18.9974937343,nan,6.43735425892
-18.9724310777,nan,6.490034224
-18.9473684211,nan,6.54343057656
-18.9223057644,nan,6.59756124194
-18.8972431078,nan,6.65244484541
-18.8721804511,nan,6.70810074921
-18.8471177945,nan,6.76454909206
-18.8220551378,nan,6.82181083142
-18.7969924812,nan,6.87990778859
-18.7719298246,nan,6.938862697
-18.7468671679,nan,6.9986992539
-18.7218045113,nan,7.05944217581
-18.6967418546,nan,7.1211172579
-18.671679198,nan,7.1837514379
-18.6466165414,nan,7.24737286472
-18.6215538847,nan,7.31201097233
-18.5964912281,nan,7.37769655933
-18.5714285714,nan,7.44446187482
-18.5463659148,nan,7.51234071112
-18.5213032581,nan,7.58136850395
-18.4962406015,nan,7.65158244097
-18.4711779449,nan,7.72302157939
-18.4461152882,nan,7.79572697356
-18.4210526316,nan,7.86974181371
-18.3959899749,nan,7.94511157694
-18.3709273183,nan,8.02188419173
