signal_GHz,our_gain_dB,our_gamma_mag
2.5,0.0620126287905,0.0331064542686
2.55,0.0291101379848,0.0330509614336
2.6,2.92911503239e-05,0.0329942146648
2.65,0.0664530057818,0.0329361497101
2.7,0.168832401687,0.0328767878217
2.75,0.00500198934074,0.0328161078319
2.8,0.216975449573,0.0327540880863
2.85,4.13159370419e-05,0.0326906593936
2.9,0.295636486699,0.0326258401869
2.95,0.180614092254,0.0325595741918
3,0.0312511968925,0.0324922392627
3.05,0.388555744101,0.0324224844292
3.1,0.432486413095,0.0323527332464
3.15,0.0835891010051,0.032279975363
3.2,0.0983433240122,0.0322072203411
3.25,0.564148399441,0.0321313894192
3.3,0.830235302523,0.032055560707
3.35,0.568496287333,0.0319766384887
3.4,0.0870702710817,0.0318977179154
3.45,0.084115714022,0.031815403414
3.5,0.713113631212,0.0317330901633
3.55,1.35823964278,0.0316474100248
3.6,1.57934805604,0.0315617307795
3.65,1.2161741122,0.031472629862
3.7,0.440991649902,0.031383529551
3.75,6.25637785213e-05,0.0312907601727
3.8,0.642957367912,0.0311979912053
3.85,1.97796637546,0.0311015040165
3.9,3.19756669584,0.0310050170709
3.95,3.69014881818,0.0309046701497
4,3.20073091814,0.0308043233509
4.05,1.55590392503,0.0306999693044
4.1,0.0286433151207,0.0305956153058
4.15,3.6273412786,0.0304870244315
4.2,8.96513061212,0.0303784335658
4.25,13.1040498587,0.0302656346789
4.3,16.4897405171,0.0301528357937
4.35,19.1422960307,0.0300355559669
4.4,21.4112945025,0.029918276167
4.45,23.2455836242,0.0297963723561
4.5,24.8412455199,0.0296744686285
4.55,26.1429017642,0.0295477454192
4.6,27.2728447039,0.0294210223832
4.65,28.1930716303,0.0292893153732
4.7,28.9855735506,0.0291576086562
4.75,29.6246551422,0.0290206874528
4.8,30.1672211427,0.0288837666947
4.85,30.599897412,0.028741431733
4.9,30.9625348611,0.0285990974061
4.95,31.2469292211,0.0284511143308
5,31.4807252428,0.0283031321131
5.05,31.6612312317,0.028149277215
5.1,31.8060470257,0.0279954234444
5.15,31.9151589813,0.0278354600331
5.2,31.9996996511,0.0276754980641
5.25,32.0613400638,0.0275090828117
5.3,32.1064001551,0.0273426693632
5.35,32.1374193351,0.0271696221464
5.4,32.1575404065,0.0269965771625
5.45,32.1697888675,0.026816548703
5.5,32.1751498325,0.0266365229709
5.55,32.1768229321,0.026449155963
5.6,32.1743380153,0.0262617922558
5.65,32.1709420644,0.0260667847283
5.7,32.1652762706,0.0258717811723
5.75,32.1607013806,0.0256687602614
5.8,32.154949925,0.025465744103
5.85,32.1515673227,0.0252543436215
5.9,32.1479621951,0.0250429488075
5.95,32.1472623739,0.0248227038118
6,32.1469677557,0.0246024655584
6.05,32.1500315245,0.0243729575542
6.1,32.1538200093,0.0241434575621
6.15,32.1611670229,0.0239042699528
6.2,32.1695226171,0.0236650918575
6.25,32.181456096,0.0234156428513
6.3,32.1944806673,0.0231662051555
6.35,32.2111130365,0.022905993427
6.4,32.2288564047,0.0226457951602
6.45,32.250143239,0.022374235253
6.5,32.2726183838,0.0221026914065
6.55,32.2984735981,0.0218191346187
6.6,32.3255013034,0.0215355970631
6.65,32.355826702,0.0212394111223
6.7,32.3872622762,0.0209432482941
6.75,32.4219063928,0.0206336891739
6.8,32.4576514615,0.0203241579813
6.85,32.4964859562,0.0200004906862
6.9,32.5363470028,0.0196768573127
6.95,32.5792141955,0.0193382042084
7,32.623061723,0.0189995926498
7.05,32.6698379075,0.0186450975864
7.1,32.7175747154,0.0182906537772
7.15,32.7681673949,0.0179193314106
7.2,32.8196395592,0.0175480729312
7.25,32.8738967722,0.017158911237
7.3,32.9289738425,0.016769830018
7.35,32.9867606222,0.0163616411156
7.4,33.0453229352,0.0159535550407
7.45,33.1065344974,0.0155252092231
7.5,33.1684008828,0.0150969966632
7.55,33.2328017849,0.0146471597944
7.6,33.297761916,0.0141974988698
7.65,33.36509889,0.0137247649563
7.7,33.432824832,0.0132522684552
7.75,33.5027872539,0.0127551709774
7.8,33.5728482756,0.0122584021763
7.85,33.6448512058,0.0117353676638
7.9,33.7166528629,0.0112128029225
7.95,33.7899371793,0.0106622539606
8,33.8625904806,0.0101124031042
8.05,33.9361454251,0.00953272521042
8.1,34.0083889621,0.00895413918678
8.15,34.0806542826,0.00834404081459
8.2,34.1507590252,0.00773576555929
8.25,34.2196079352,0.00709456758451
8.3,34.2850877314,0.00645670290147
8.35,34.3475857618,0.00578573860747
8.4,34.4050773635,0.00512171036388
8.45,34.4570974704,0.00442828776501
8.5,34.5019049358,0.00375246057062
8.55,34.5378543048,0.00306676837995
8.6,34.5635899984,0.00244199621568
8.65,34.5758390745,0.00191221765447
8.7,34.5738248307,0.00165742415488
8.75,34.5520719446,0.00182092824824
8.8,34.5107774506,0.00233909365942
8.85,34.4411517871,0.00308601899329
8.9,34.3452516135,0.00392223369192
8.95,34.2098821132,0.00486332583934
9,34.0395366435,0.00582991904259
9.05,33.8152582326,0.00688168679526
9.1,33.5446678126,0.00794363957246
9.15,33.2023052417,0.00909111517048
9.2,32.8001098674,0.0102436461824
9.25,32.3026886193,0.0114877588139
9.3,31.7298520748,0.012734760952
9.35,31.0337203127,0.0140821800716
9.4,30.2420530268,0.015431420561
9.45,29.2899914521,0.0168921033135
9.5,28.2187636089,0.0183540185171
9.55,26.9384364073,0.0199405034227
9.6,25.5013757242,0.0215278689568
9.65,23.7811088315,0.0232553347883
9.7,21.8395766176,0.024983457701
9.75,19.4794765857,0.0268701079701
9.8,16.7571933519,0.0287572657941
9.85,13.3154445037,0.0308248349132
9.9,9.13879318294,0.0328928076778
9.95,3.7593297318,0.0351673983228
10,0.0402426367239,0.0374423179712
10.05,1.52876485949,0.0399554505894
10.1,3.18922590433,0.042468857396
10.15,3.6897649887,0.0452589748242
10.2,3.20267870637,0.0480493249946
10.25,1.98557449682,0.0511637832674
10.3,0.648377457023,0.0542784425401
10.35,0.000125633544009,0.0577761940972
10.4,0.438292397029,0.0612741220372
10.45,1.21424134726,0.0652296454954
10.5,1.57902010937,0.06918532601
10.55,1.35937948542,0.0736941304939
10.6,0.714888270571,0.0782030767197
10.65,0.0847819596942,0.0833898481323
10.7,0.0864889813839,0.0885767492084
10.75,0.567791028972,0.0946078158766
10.8,0.830185590386,0.100639004787
10.85,0.564731346828,0.107741375508
10.9,0.0986874835158,0.114843858883
