signal_GHz,gain_dB_general_model
6,32.424017578
6.01,32.434559691
6.02,32.445271277
6.03,32.4546069884
6.04,32.4613880647
6.05,32.4609958706
6.06,32.4443895413
6.07,32.3838957366
6.08,32.1996908101
6.09,31.6543928122
6.1,30.3861909818
6.11,30.3857179611
6.12,31.8274348266
6.13,32.3686107217
6.14,32.5427639061
6.15,32.6247056015
6.16,32.6798405719
6.17,32.7237360283
6.18,32.7621019035
6.19,32.796687718
6.2,32.8292230474
6.21,32.8592193778
6.22,32.8881907035
6.23,32.9158158294
6.24,32.9426985714
6.25,32.968433065
6.26,32.9934819713
6.27,33.0174073722
6.28,33.0404365863
6.29,33.0623947161
6.3,33.0832288456
6.31,33.0998831141
6.32,33.1152534554
6.33,33.1290644495
6.34,33.140254298
6.35,33.1484488142
6.36,33.1589896346
6.37,33.1671568237
6.38,33.1735818636
6.39,33.1782813075
6.4,33.1799497365
6.41,33.182992778
6.42,33.1836370066
6.43,33.18280083
6.44,33.1804085164
6.45,33.1750516984
6.46,33.1707660097
6.47,33.1652836301
6.48,33.1576283173
6.49,33.147674696
6.5,33.1357284145
6.51,33.1251175031
6.52,33.1127118377
6.53,33.0983127713
6.54,33.0812764786
6.55,33.0618953498
6.56,33.0435493833
6.57,33.0235584196
6.58,33.0011755816
6.59,32.9760222797
6.6,32.9471302571
6.61,32.9192075444
6.62,32.8879110964
6.63,32.8531678772
6.64,32.8142021701
6.65,32.7709198021
6.66,32.7290021822
6.67,32.6829609501
6.68,32.631334929
6.69,32.5738265101
6.7,32.5087313867
6.71,32.4455300088
6.72,32.3750375636
6.73,32.2971857318
6.74,32.2103865765
6.75,32.1146368977
6.76,32.0212603304
6.77,31.919912732
6.78,31.8090920664
6.79,31.6891174786
6.8,31.5586841385
6.81,31.432952784
6.82,31.2983950358
6.83,31.1556639623
6.84,31.0046026972
6.85,30.8463994984
6.86,30.6971733347
6.87,30.5445399011
6.88,30.389474279
6.89,30.2345612261
6.9,30.0822168023
6.91,29.9465800534
6.92,29.8183477373
6.93,29.7014529077
6.94,29.5983738207
6.95,29.5131410366
6.96,29.4501752536
6.97,29.4105110806
6.98,29.3896915098
6.99,29.3912683304
7,29.4153473293
7.01,29.4569285653
7.02,29.5166584165
7.03,29.5912024542
7.04,29.6465152151
7.05,29.8281431576
7.06,29.9399997045
7.07,30.0481721852
7.08,30.1811171022
7.09,30.3192553436
7.1,30.4612096072
7.11,30.5943170772
7.12,30.7278101077
7.13,30.8599618383
7.14,30.9805563639
7.15,31.1201691708
7.16,31.2435584195
7.17,31.3644072562
7.18,31.4807326761
7.19,31.5921912322
7.2,31.6984441423
7.21,31.7942538293
7.22,31.884709848
7.23,31.9707765743
7.24,32.0518141846
7.25,32.128014046
7.26,32.2004489684
7.27,32.2684248785
7.28,32.3321557373
7.29,32.3920114197
7.3,32.4482303906
7.31,32.4979549114
7.32,32.5447113381
7.33,32.588749754
7.34,32.6303145197
7.35,32.6696688807
7.36,32.7065114255
7.37,32.741436211
7.38,32.7745091645
7.39,32.8059607545
7.4,32.8357677591
7.41,32.862032956
7.42,32.8869549355
7.43,32.9107528352
7.44,32.9333926475
7.45,32.9550450102
7.46,32.9750303449
7.47,32.9942371018
7.48,33.0128124426
7.49,33.0306947112
7.5,33.0480825163
7.51,33.0635220271
7.52,33.0786857881
7.53,33.0933182596
7.54,33.1076614245
7.55,33.1214705507
7.56,33.1344791251
7.57,33.1470994924
7.58,33.1596521653
7.59,33.1717317931
7.6,33.1837023079
7.61,33.1944423835
7.62,33.2052841897
7.63,33.2157746538
7.64,33.226257368
7.65,33.2362882959
7.66,33.2459217789
7.67,33.255255977
7.68,33.2646523201
7.69,33.2737321396
7.7,33.2829278896
7.71,33.2911802108
7.72,33.2997243475
7.73,33.3080354936
7.74,33.3165296252
7.75,33.3247347722
7.76,33.3325482983
7.77,33.3402299155
7.78,33.3483220553
7.79,33.3561540244
7.8,33.3642756904
7.81,33.3724075316
7.82,33.3807219969
7.83,33.3885395306
7.84,33.3965518802
7.85,33.4041064092
7.86,33.4118790805
7.87,33.4191738768
7.88,33.4267760475
7.89,33.4339238205
7.9,33.4414307349
7.91,33.4483657443
7.92,33.4556577576
7.93,33.4624222845
7.94,33.4694893159
7.95,33.4758273866
7.96,33.4817773575
7.97,33.4850417939
7.98,33.4775848444
7.99,33.4432378287
8,33.4373606641
