signal_GHz,gain_dB_max_gain_pump_16.40GHz,gain_dB_max_gbp_pump_16.00GHz
2.5,0.0335425731697,0.0442337255955
2.55,0.055780938019,0.138362003414
2.6,0.0535183598568,0.132647587105
2.65,0.0369802476377,0.0494724618396
2.7,0.0180255060501,0.209412352815
2.75,0.0466827178313,0.163029181325
2.8,0.0710663855011,0.0477712447577
2.85,0.00272156987659,0.371855078782
2.9,0.159260377747,0.28370461464
2.95,0.10402279276,0.00895834984988
3,0.00249562904572,0.22128777209
3.05,0.302315211276,0.00216975199393
3.1,0.019960736217,0.000629755252925
3.15,0.4410635275,0.00323502597976
3.2,0.121935340992,0.00532526439335
3.25,0.137607746585,0.195955946194
3.3,0.726845063035,0.782189932892
3.35,0.54956455885,1.25082106938
3.4,0.0119001452914,1.35592092083
3.45,0.000179690556485,1.03510341323
3.5,0.000576530526446,0.42749460982
3.55,0.00244693000241,0.0158359889592
3.6,0.73378898025,0.274866947985
3.65,0.022189513547,1.17194650851
3.7,0.640872635985,2.27040196868
3.75,2.16692427123,3.04847069019
3.8,3.30045763876,3.33514326387
3.85,3.21063568816,2.96819847666
3.9,1.51036167964,1.81662113483
3.95,0.108599345374,0.29970548224
4,5.06216677877,0.703316042084
4.05,10.5281565231,4.28076725245
4.1,14.888452902,8.38364843833
4.15,18.1093994243,11.7323773992
4.2,20.7858333135,14.5984231521
4.25,22.8651236312,16.9268645713
4.3,24.6325963589,18.9715994764
4.35,26.0269898882,20.6825445857
4.4,27.2105044276,22.211497966
4.45,28.1424075197,23.5095017071
4.5,28.9239629045,24.6770820896
4.55,29.532654803,25.6732773796
4.6,30.0331016116,26.5722487361
4.65,30.4174426347,27.3391751658
4.7,30.7255910017,28.0279560923
4.75,30.9566660224,28.6161251098
4.8,31.1359590056,29.1417889393
4.85,31.265573492,29.5884775458
4.9,31.3605269941,29.9854657145
4.95,31.4244714679,30.3221367627
5,31.4658107741,30.6194351162
5.05,31.4886584006,30.8702547875
5.1,31.4971342078,31.0900306521
5.15,31.4953540192,31.2749232048
5.2,31.4848030517,31.435895301
5.25,31.4693048261,31.5703458068
5.3,31.4488627549,31.6865855912
5.35,31.4268276422,31.783198767
5.4,31.402387892,31.8659499072
5.45,31.3784441212,31.9344568941
5.5,31.3537783232,31.9923630777
5.55,31.3309346756,32.0401466279
5.6,31.3083663724,32.0800738146
5.65,31.2883212754,32.1129168087
5.7,31.2693050302,32.1400155514
5.75,31.2530859008,32.1623210143
5.8,31.2383709642,32.1804912326
5.85,31.226495127,32.195637527
5.9,31.2164371951,32.2078596133
5.95,31.2091169325,32.2183434457
6,31.2036886316,32.226897467
6.05,31.2009364654,32.234687742
6.1,31.2000938164,32.2411911303
6.15,31.2016663644,32.2477205106
6.2,31.2051441049,32.2535015065
6.25,31.2108774053,32.2597780419
6.3,31.2183927284,32.2657588141
6.35,31.2279232887,32.2725947037
6.4,31.2391773142,32.2794882485
6.45,31.2522197351,32.2874310883
6.5,31.2668765518,32.2956835746
6.55,31.283100779,32.3051895357
6.6,31.3008341846,32.3151224123
6.65,31.3199324973,32.3264724625
6.7,31.3404291208,32.3383443142
6.75,31.3621136499,32.3516992183
6.8,31.3850775782,32.3656832296
6.85,31.4090699582,32.3811561988
6.9,31.4342349764,32.3973378082
6.95,31.46025843,32.4150345273
7,31.4873972669,32.4334285925
7.05,31.5152351379,32.4533448883
7.1,31.5441152754,32.4740007396
7.15,31.5735652065,32.4961706225
7.2,31.6039828871,32.5190443537
7.25,31.6348813155,32.5433935186
7.3,31.6666571392,32.568510375
7.35,31.6988297797,32.5950567558
7.4,31.7318469224,32.6223219277
7.45,31.7651680615,32.6510098419
7.5,31.7992694654,32.6804050071
7.55,31.8336361132,32.7111722393
7.6,31.8687405419,32.7426706751
7.65,31.9040726373,32.7754712231
7.7,31.9400921837,32.8089658795
7.75,31.9762852905,32.8437697284
7.8,32.0131513677,32.8792287311
7.85,32.0501776354,32.9159653199
7.9,32.0878690609,32.9533347091
7.95,32.1256741587,32.9919510177
8,32.1641129181,33.0311760454
8.05,32.2026879856,33.0716162641
8.1,32.2418998578,33.1126386144
8.15,32.2812353088,33.1548435415
8.2,32.3212152484,33.1976008803
8.25,32.3613022584,33.24150724
8.3,32.4020312982,33.2859317924
8.35,32.4429141168,33.3314675514
8.4,32.4844276245,33.3775006592
8.45,32.5261330959,33.4245661497
8.5,32.5684625907,33.4721013226
8.55,32.6109938961,33.5206547817
8.6,32.6541714791,33.569587443
8.65,32.6976136339,33.6194952148
8.7,32.7417026015,33.6697162617
8.75,32.7860909698,33.7208206385
8.8,32.8311331965,33.7721936221
8.85,32.8765361165,33.8243742125
8.9,32.9226197494,33.8766722137
8.95,32.9691105765,33.9296790091
9,33.0163018606,33.9827171779
9.05,33.0639471141,34.0363169964
9.1,33.1123203573,34.089781294
9.15,33.1612197479,34.1436224209
9.2,33.2108557896,34.1971759658
9.25,33.2610820661,34.2508719395
9.3,33.312073999,34.3040354528
9.35,33.3637202685,34.3570772658
9.4,33.4161476864,34.4092887793
9.45,33.4693020293,34.461021054
9.5,33.5232478513,34.5115860174
9.55,33.5779893521,34.5611949314
9.6,33.633528045,34.6092231621
9.65,33.6899257752,34.6557161029
9.7,33.7471160688,34.700087833
9.75,33.8052230078,34.7422174707
9.8,33.8640927056,34.7815475437
9.85,33.9239234196,34.8177405592
9.9,33.9844833937,34.8503274866
9.95,34.0460264401,34.8786344668
10,34.1082009248,34.9023647892
10.05,34.1713586217,34.9203912322
10.1,34.235046601,34.9325922193
10.15,34.2996565012,34.937360234
10.2,34.3646022643,34.9348486491
10.25,34.4303573957,34.9227115121
10.3,34.4962196709,34.9014231785
10.35,34.5626371564,34.8679535208
10.4,34.6288187894,34.8231074509
10.45,34.6952135534,34.7627323999
10.5,34.7608928532,34.6884747092
10.55,34.8262309882,34.5946816301
10.6,34.8901616592,34.4838300787
10.65,34.9530173594,34.3483626763
10.7,35.0134866796,34.1926056198
10.75,35.0717652422,34.006147605
10.8,35.1264089582,33.7950925611
10.85,35.1772256724,33.5464880292
10.9,35.2227095023,33.2682940644
10.95,35.2620989557,32.9441668103
11,35.2938590163,32.5844064689
11.05,35.3163416509,32.1687775414
11.1,35.3281109589,31.7114788466
11.15,35.3262113488,31.1855195947
11.2,35.3095132979,30.6105588836
11.25,35.2730101932,29.9511424023
11.3,35.2162883415,29.2337213341
11.35,35.1316317775,28.4135477251
11.4,35.0195912486,27.5222251056
11.45,34.8682562775,26.501053025
11.5,34.6804508741,25.3922307861
