unloaded_cells_each_side,loaded_cells,period_cells,supercells,total_cells,length_mm,pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite
13,3,29,1407,40803,81.60600000000001,12.955172413793104,0.0003,0.00036,"[4.0, 8.0]",35.18121637090297,7.999999999999986,29.166715729037747,28.237347587453048,8.100732832373566,2.280019271735692,1.0,1.0,1.0,"[(7.449999999999988, 7.999999999999986)]",0.5999999999999979,True
13,3,29,1407,40803,81.60600000000001,12.966896551724139,0.0003,0.00036,"[4.0, 8.0]",36.3970641240399,7.999999999999986,30.57102962391076,29.617104242289525,7.862435197785086,2.2343566526679535,1.0,1.0,1.0,"[(7.399999999999988, 7.999999999999986)]",0.6499999999999977,True
13,3,29,1407,40803,81.60600000000001,12.978620689655173,0.0003,0.00036,"[4.0, 8.0]",37.6022459692133,7.999999999999986,32.03806476011217,31.10415028440855,7.552852089490635,2.1714523625456823,1.0,1.0,1.0,"[(7.399999999999988, 7.999999999999986)]",0.6499999999999977,True
13,3,29,1407,40803,81.60600000000001,12.990344827586208,0.0003,0.00036,"[4.0, 8.0]",38.85010880622286,7.999999999999986,33.68473128100327,32.75014313283146,7.078198312045153,2.072467153214264,1.0,1.0,1.0,"[(7.299999999999988, 7.999999999999986)]",0.7499999999999973,True
13,3,29,1407,40803,81.60600000000001,13.002068965517243,0.0003,0.00036,"[4.0, 8.0]",39.743797508210676,7.999999999999986,35.05223790215818,34.146639442660074,6.495467124720108,1.9462305236945687,1.0,1.0,1.0,"[(7.149999999999989, 7.999999999999986)]",0.8999999999999968,True
13,3,29,1407,40803,81.60600000000001,13.013793103448277,0.0003,0.00036,"[4.0, 8.0]",40.501033977836045,7.999999999999986,36.65880825755494,35.821462416603644,5.468347746748009,1.7117921215625087,1.0,1.0,1.0,"[(6.84999999999999, 7.999999999999986)]",1.1999999999999957,True
13,3,29,1407,40803,81.60600000000001,13.025517241379312,0.0003,0.00036,"[4.0, 8.0]",40.63306912234995,7.999999999999986,37.72372169835828,37.133967051099674,4.327013864112303,1.4427220506426415,1.0,1.0,1.0,"[(6.349999999999992, 7.999999999999986)]",1.699999999999994,True
13,3,29,1407,40803,81.60600000000001,13.037241379310347,0.0003,0.00036,"[4.0, 8.0]",40.095162658985146,7.7999999999999865,38.52435399456504,38.32323614389152,2.8443607689051404,1.0250826760837464,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,29,1407,40803,81.60600000000001,13.048965517241381,0.0003,0.00036,"[4.0, 8.0]",39.335161391195804,7.2499999999999885,38.508438089667585,38.67242713799717,2.175682230393406,0.6773380217788286,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,29,1407,40803,81.60600000000001,13.060689655172416,0.0003,0.00036,"[4.0, 8.0]",38.04606757736805,6.349999999999992,37.42586990857391,37.582842655677204,1.9398986361881185,0.558470778472786,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,29,1407,40803,81.60600000000001,13.07241379310345,0.0003,0.00036,"[4.0, 8.0]",36.15792865141192,5.849999999999993,35.41164477491924,35.639234719550444,2.729440158008579,0.719198115754948,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,29,1407,40803,81.60600000000001,13.084137931034485,0.0003,0.00036,"[4.0, 8.0]",32.89931895402833,5.649999999999994,31.996475535284517,32.28275021279424,3.4616850936768486,0.9023621085273672,1.0,1.0,1.0,"[(4.0, 7.849999999999986)]",3.899999999999986,True
13,3,29,1407,40803,81.60600000000001,13.09586206896552,0.0003,0.00036,"[4.0, 8.0]",29.297714435644316,5.5499999999999945,28.31938651433619,28.66496584565038,3.7574311146978623,0.9946200183872255,1.0,1.0,1.0,"[(4.0, 7.749999999999987)]",3.7999999999999865,True
13,3,29,1407,40803,81.60600000000001,13.107586206896555,0.0003,0.00036,"[4.0, 8.0]",24.050045950698703,5.199999999999996,23.060369705507007,23.468505424012392,3.874467849303663,1.0672235374851198,1.0,1.0,1.0,"[(4.0, 7.649999999999987)]",3.699999999999987,True
13,3,29,1407,40803,81.60600000000001,13.11931034482759,0.0003,0.00036,"[4.0, 8.0]",19.16768944753573,5.099999999999996,18.116161541072533,18.621731570267116,4.028794305037906,1.14234615207743,1.0,0.8024691358024691,0.0,"[(4.0, 7.599999999999987)]",3.649999999999987,True
13,3,29,1407,40803,81.60600000000001,13.131034482758624,0.0003,0.00036,"[4.0, 8.0]",12.206332231668355,4.899999999999997,10.825047555753068,11.422053560320634,4.999767333385527,1.4690156599466662,0.0,0.0,0.0,"[(4.0, 7.2499999999999885)]",3.2999999999999883,True
13,3,29,1407,40803,81.60600000000001,13.142758620689658,0.0003,0.00036,"[4.0, 8.0]",3.6955588331119547,4.1499999999999995,1.6808586587207364,1.3849596459047335,3.6955327289709463,1.3222365863419898,0.0,0.0,0.0,"[(4.0, 6.349999999999992), (7.7999999999999865, 7.999999999999986)]",2.6499999999999906,True
13,3,29,1407,40803,81.60600000000001,13.154482758620693,0.0003,0.00036,"[4.0, 8.0]",16.841064321853143,7.999999999999986,13.05341229294341,13.25961014330712,8.131109468645151,2.426008431883254,0.2839506172839506,0.0,0.0,"[(6.299999999999992, 7.999999999999986)]",1.7499999999999938,True
13,3,29,1407,40803,81.60600000000001,13.166206896551728,0.0003,0.00036,"[4.0, 8.0]",13.822576747452814,6.449999999999991,10.524672735640982,12.184599854487104,13.814240673850465,3.9432774985333743,0.0,0.0,0.0,"[(5.149999999999996, 7.699999999999987)]",2.5999999999999908,True
13,3,29,1407,40803,81.60600000000001,13.177931034482762,0.0003,0.00036,"[4.0, 8.0]",8.419885853716547,6.549999999999991,5.773338629226267,6.875458006656307,8.403887946681222,2.673963744234103,0.0,0.0,0.0,"[(5.249999999999996, 7.849999999999986)]",2.6499999999999906,True
13,3,29,1407,40803,81.60600000000001,13.189655172413797,0.0003,0.00036,"[4.0, 8.0]",5.696159546658084,4.0,1.3711282958558735,1.18675322516803,5.6952859565595935,1.2868466042412834,0.0,0.0,0.0,"[(4.0, 4.449999999999998)]",0.4999999999999982,True
13,3,29,1407,40803,81.60600000000001,13.201379310344832,0.0003,0.00036,"[4.0, 8.0]",7.953888676648381,4.0,5.589031274220489,5.252173035006727,3.7054589283562605,1.1762979169819896,0.0,0.0,0.0,"[(4.0, 5.749999999999994), (7.449999999999988, 7.999999999999986)]",2.3999999999999915,True
13,3,29,1407,40803,81.60600000000001,13.213103448275866,0.0003,0.00036,"[4.0, 8.0]",6.776166803706491,6.599999999999991,5.92102846752637,6.459396418851082,4.707543371506215,1.190537959280835,0.0,0.0,0.0,"[(4.349999999999999, 7.999999999999986)]",3.699999999999987,True
13,3,29,1407,40803,81.60600000000001,13.224827586206901,0.0003,0.00036,"[4.0, 8.0]",4.542614077491906,4.0,0.8227608774442886,0.10923411288151072,4.5425584338453255,1.2865463742584593,0.0,0.0,0.0,"[(4.0, 4.799999999999997)]",0.849999999999997,True
13,3,29,1407,40803,81.60600000000001,13.236551724137936,0.0003,0.00036,"[4.0, 8.0]",5.339666640936995,4.949999999999997,5.030995788622845,5.039977799110421,1.1299751921264987,0.22632658144330337,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
