supercell_repeats,device_length_mm,pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,strict_pass
1050,60.900000000000006,12.7,0.00035999999999999997,0.00028,"[4.0, 8.0]",42.32876831830217,7.699999999999987,34.23805988438355,34.1752732793485,19.51160182448487,4.572557073317093,1.0,1.0,1.0,"[(5.599999999999994, 5.599999999999994), (7.149999999999989, 7.299999999999988), (7.399999999999988, 7.399999999999988), (7.599999999999987, 7.849999999999986)]",0.5999999999999979,True,22.817166493817297,42.32876831830217,False
1150,66.7,12.85,0.00043999999999999996,0.00031999999999999997,"[4.0, 8.0]",45.23535642287257,6.0999999999999925,36.259991701676164,37.60720048862559,21.41516742221949,5.761004924043936,1.0,1.0,1.0,"[(4.9999999999999964, 4.9999999999999964), (5.849999999999993, 5.849999999999993), (6.049999999999993, 6.149999999999992), (6.299999999999992, 6.349999999999992), (7.149999999999989, 7.199999999999989), (7.349999999999988, 7.449999999999988), (7.7999999999999865, 7.7999999999999865), (7.899999999999986, 7.999999999999986)]",0.7999999999999972,True,23.82018900065308,45.23535642287257,False
1250,72.5,12.7,0.00039999999999999996,0.00031999999999999997,"[4.0, 8.0]",43.88713706284551,7.699999999999987,34.26655205343229,34.730445733388045,21.495753015134802,5.019371242265109,1.0,1.0,1.0,"[(7.349999999999988, 7.449999999999988), (7.599999999999987, 7.749999999999987)]",0.34999999999999876,True,22.39138404771071,43.88713706284551,False
1450,84.10000000000001,12.7,0.00043999999999999996,0.00028,"[4.0, 8.0]",42.38867736448901,6.199999999999992,35.040989808960155,35.34003483105511,23.067599896559976,4.59052321774837,1.0,1.0,0.9876543209876543,"[(4.349999999999999, 4.349999999999999), (4.599999999999998, 4.599999999999998), (4.799999999999997, 4.799999999999997), (5.699999999999994, 5.699999999999994), (5.949999999999993, 5.949999999999993), (6.199999999999992, 6.199999999999992), (7.399999999999988, 7.399999999999988), (7.499999999999988, 7.599999999999987), (7.699999999999987, 7.749999999999987), (7.949999999999986, 7.949999999999986)]",0.6499999999999977,True,19.321077467929037,42.38867736448901,False
1050,60.900000000000006,12.8,0.00039999999999999996,0.00028,"[4.0, 8.0]",44.24035004769598,7.449999999999988,33.38699702309178,33.64144944676316,24.146080097915764,5.633601304359764,1.0,1.0,1.0,"[(5.5499999999999945, 5.5499999999999945), (5.699999999999994, 5.699999999999994), (7.099999999999989, 7.099999999999989), (7.449999999999988, 7.549999999999987), (7.849999999999986, 7.849999999999986)]",0.34999999999999876,True,20.09426994978022,44.24035004769598,False
1150,66.7,12.85,0.00035999999999999997,0.00031999999999999997,"[4.0, 8.0]",44.02990317886016,7.949999999999986,35.37420964669517,35.933946508055264,25.805241489388813,5.375025669800754,1.0,1.0,0.9876543209876543,"[(6.049999999999993, 6.049999999999993), (6.249999999999992, 6.249999999999992), (7.149999999999989, 7.199999999999989), (7.349999999999988, 7.399999999999988), (7.499999999999988, 7.549999999999987), (7.7999999999999865, 7.7999999999999865), (7.899999999999986, 7.949999999999986)]",0.549999999999998,True,18.224661689471347,44.02990317886016,False
1050,60.900000000000006,12.85,0.00043999999999999996,0.00028,"[4.0, 8.0]",44.65213139507307,7.199999999999989,35.78556131306943,36.826924986629336,27.120225309178693,5.614907141133705,1.0,1.0,0.9753086419753086,"[(5.999999999999993, 5.999999999999993), (6.149999999999992, 6.149999999999992), (7.199999999999989, 7.199999999999989), (7.299999999999988, 7.399999999999988), (7.549999999999987, 7.549999999999987), (7.649999999999987, 7.899999999999986), (7.999999999999986, 7.999999999999986)]",0.6999999999999975,True,17.531906085894377,44.65213139507307,False
1350,78.3,12.9,0.00043999999999999996,0.00031999999999999997,"[4.0, 8.0]",45.97012035482539,7.649999999999987,35.1006706592462,36.20700016335644,31.92659612497537,6.022889106764961,0.9876543209876543,0.9876543209876543,0.9753086419753086,"[(6.149999999999992, 6.149999999999992), (7.299999999999988, 7.349999999999988), (7.649999999999987, 7.7999999999999865), (7.999999999999986, 7.999999999999986)]",0.3999999999999986,True,14.04352422985002,45.97012035482539,False
1150,66.7,12.8,0.00043999999999999996,0.00031999999999999997,"[4.0, 8.0]",48.21913373355008,6.299999999999992,36.11968188940743,37.1391915349304,34.41497918485676,6.30617376057029,0.9876543209876543,0.9876543209876543,0.9753086419753086,"[(6.299999999999992, 6.299999999999992)]",0.04999999999999982,True,13.804154548693322,48.21913373355008,False
1450,84.10000000000001,12.8,0.00043999999999999996,0.00031999999999999997,"[4.0, 8.0]",45.15616146237826,7.949999999999986,34.56436472830042,34.94360924472138,35.69639660830161,6.424354432332778,0.9876543209876543,0.9876543209876543,0.9629629629629629,"[(6.0999999999999925, 6.0999999999999925), (7.349999999999988, 7.349999999999988), (7.449999999999988, 7.449999999999988), (7.549999999999987, 7.549999999999987), (7.649999999999987, 7.649999999999987), (7.749999999999987, 7.7999999999999865), (7.949999999999986, 7.949999999999986)]",0.3999999999999986,True,9.459764854076646,45.15616146237826,False
