model,configuration,mode_count,included_modes,p2_included,ps_pi_included,s2_i2_included,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,strict_pass,ripple_change_vs_all_8_modes_db,minimum_gain_change_vs_all_8_modes_db
general_ideal,basic_p_s_i,3,"['p', 's', 'i']",False,False,False,"[4.0, 8.0]",6.616349265211914,7.649999999999987,6.422712138933495,6.412321383407342,0.3676190608835155,0.12098739586584434,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,6.248730204328399,6.616349265211914,False,-30.794957553329027,28.97060046015137
general_ideal,basic_plus_p2,4,"['p', 's', 'i', 'p2']",True,False,False,"[4.0, 8.0]",34.91255573683422,7.999999999999986,32.0043240673276,31.98956134830833,5.7177824917774345,1.6088971538695698,1.0,1.0,1.0,"[(5.949999999999993, 7.999999999999986)]",2.0999999999999925,True,29.194773245056787,34.91255573683422,False,-25.44479412243511,51.91664350087976
general_ideal,basic_plus_ps_pi,5,"['p', 's', 'i', 'ps', 'pi']",False,True,False,"[4.0, 8.0]",42.99453173667217,6.79999999999999,31.480966192753954,33.237414654675355,49.95168861998912,9.904193500889447,0.9135802469135802,0.9135802469135802,0.8765432098765432,"[(4.349999999999999, 4.349999999999999), (4.549999999999998, 4.649999999999998), (4.949999999999997, 5.099999999999996), (6.0999999999999925, 6.549999999999991), (6.79999999999999, 6.79999999999999)]",0.9499999999999966,True,-6.957156883316951,42.99453173667217,False,18.789112005776577,15.76471337250602
general_ideal,basic_plus_s2_i2,5,"['p', 's', 'i', 's2', 'i2']",False,False,True,"[4.0, 8.0]",41.73508229530822,5.349999999999995,8.244072187787333,6.48312439485316,35.77985280592057,6.959819794937359,0.06172839506172839,0.06172839506172839,0.06172839506172839,"[(5.349999999999995, 5.349999999999995), (5.849999999999993, 5.849999999999993)]",0.09999999999999964,True,5.955229489387647,41.73508229530822,False,4.617276191708026,28.67709974521062
general_ideal,all_except_p2,7,"['p', 's', 'i', 'ps', 'pi', 's2', 'i2']",False,True,True,"[4.0, 8.0]",43.0775397666564,6.84999999999999,35.701824585769565,35.81318304728781,15.799270792387386,4.2364980311989,1.0,1.0,1.0,"[(5.399999999999995, 5.399999999999995), (5.749999999999994, 5.799999999999994), (5.899999999999993, 5.899999999999993), (6.74999999999999, 6.89999999999999), (7.699999999999987, 7.899999999999986)]",0.6499999999999977,True,27.278268974269015,43.0775397666564,False,-15.363305821825158,50.00013923009199
general_ideal,all_except_ps_pi,6,"['p', 's', 'i', 'p2', 's2', 'i2']",True,False,True,"[4.0, 8.0]",39.88960055875933,7.999999999999986,36.1774525557718,38.30920765861241,19.043201592449893,4.238785276046236,1.0,1.0,1.0,"[(5.199999999999996, 5.249999999999996), (5.949999999999993, 7.999999999999986)]",2.199999999999992,True,20.846398966309433,39.88960055875933,False,-12.11937502176265,43.5682692221324
general_ideal,all_except_s2_i2,6,"['p', 's', 'i', 'ps', 'pi', 'p2']",True,True,False,"[4.0, 8.0]",8.307793554364881,5.5499999999999945,-0.5714924844476141,-0.16816181208849823,31.034225377849914,5.5618793749310464,0.0,0.0,0.0,"[(5.299999999999995, 5.849999999999993)]",0.5999999999999979,True,-22.726431823485033,8.307793554364881,False,-0.12835123636262935,-0.0045615676620620604
general_ideal,all_8_modes,8,"['p', 's', 'i', 'ps', 'pi', 'p2', 's2', 'i2']",True,True,True,"[4.0, 8.0]",8.440706358389573,5.5499999999999945,-0.5179918048665387,-0.16839151210878656,31.162576614212544,5.610828039875333,0.0,0.0,0.0,"[(5.299999999999995, 5.849999999999993)]",0.5999999999999979,True,-22.72187025582297,8.440706358389573,False,0.0,0.0
general,basic_p_s_i,3,"['p', 's', 'i']",False,False,False,"[4.0, 8.0]",1.701682635958551,7.849999999999986,0.14946358029546145,0.06392117881615181,2.5781088676543686,0.5938668548460267,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,-0.8764262316958177,1.701682635958551,False,-10.93069090424467,-20.590770273927266
general,basic_plus_p2,4,"['p', 's', 'i', 'p2']",True,False,False,"[4.0, 8.0]",2.531273061593632,5.799999999999994,0.9834754727459999,0.9480145623444578,2.7645825123699805,0.7161528477312986,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,-0.23330945077634857,2.531273061593632,False,-10.744217259529059,-19.9476534930078
general,basic_plus_ps_pi,5,"['p', 's', 'i', 'ps', 'pi']",False,True,False,"[4.0, 8.0]",34.88282281417553,7.999999999999986,30.299461109713235,30.528445809333906,8.237199999756221,2.1801506448465195,1.0,1.0,1.0,"[(7.149999999999989, 7.199999999999989), (7.299999999999988, 7.999999999999986)]",0.849999999999997,True,26.645622814419312,34.88282281417553,False,-5.271599772142817,6.931278772187863
general,basic_plus_s2_i2,5,"['p', 's', 'i', 's2', 'i2']",False,False,True,"[4.0, 8.0]",1.703653598913769,7.849999999999986,0.06496876025508834,0.020622820272099884,6.655310184711357,0.8188003405765859,0.0,0.0,0.0,"[(4.0, 5.5499999999999945), (5.649999999999994, 7.999999999999986)]",3.999999999999986,True,-4.951656585797588,1.703653598913769,False,-6.853489587187681,-24.66600062802904
general,all_except_p2,7,"['p', 's', 'i', 'ps', 'pi', 's2', 'i2']",False,True,True,"[4.0, 8.0]",37.612422495784976,7.899999999999986,33.368542290848524,34.24957044355804,13.44353761687848,2.8464727978250335,1.0,1.0,1.0,"[(5.149999999999996, 5.349999999999995), (5.999999999999993, 5.999999999999993), (6.199999999999992, 6.499999999999991), (6.649999999999991, 6.69999999999999), (6.89999999999999, 6.9499999999999895), (7.099999999999989, 7.999999999999986)]",1.7999999999999936,True,24.168884878906496,37.612422495784976,False,-0.06526215502055877,4.454540836675047
general,all_except_ps_pi,6,"['p', 's', 'i', 'p2', 's2', 'i2']",True,False,True,"[4.0, 8.0]",2.537214102835778,5.799999999999994,0.9694269871294598,0.9101906179658794,2.7715482783714904,0.725410276829623,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,-0.23433417553571234,2.537214102835778,False,-10.737251493527548,-19.94867821776716
general,all_except_s2_i2,6,"['p', 's', 'i', 'ps', 'pi', 'p2']",True,True,False,"[4.0, 8.0]",32.838540822072794,7.399999999999988,29.907668118736677,29.7027742648035,8.587840957203277,1.4614116674955713,1.0,1.0,1.0,"[(4.0, 4.349999999999999), (4.499999999999998, 4.499999999999998), (6.199999999999992, 6.249999999999992), (6.3999999999999915, 6.499999999999991), (6.599999999999991, 7.749999999999987)]",1.8999999999999932,True,24.250699864869517,32.838540822072794,False,-4.920958814695762,4.536355822638068
general,all_8_modes,8,"['p', 's', 'i', 'ps', 'pi', 'p2', 's2', 'i2']",True,True,True,"[4.0, 8.0]",33.22314381413049,7.399999999999988,30.19711840993335,30.971618314642416,13.508799771899039,2.7424510832548874,1.0,1.0,0.9876543209876543,"[(4.0, 4.549999999999998), (4.6999999999999975, 4.749999999999997), (4.949999999999997, 4.949999999999997), (5.949999999999993, 7.699999999999987)]",2.549999999999991,True,19.71434404223145,33.22314381413049,False,0.0,0.0
